SITC Revision 2 Product Code,SITC Revision 2 Product Description,BEC Product Code,BEC Product Description
73612,Gear cutting machinery,41,Capital goods (except for transport equipment)
73613,"Lathes,metalworking",41,Capital goods (except for transport equipment)
73614,"Reaming or milling machines,metalworking",41,Capital goods (except for transport equipment)
73615,"Drilling & boring machines,metalworking",41,Capital goods (except for transport equipment)
73616,"Sawing machines,metalworking",41,Capital goods (except for transport equipment)
73617,"Planing machines,metalworking",41,Capital goods (except for transport equipment)
73618,Tapping or screw-cutting machines,41,Capital goods (except for transport equipment)
73619,"Sharpening,trimming,trueing,grinding etc.machines",41,Capital goods (except for transport equipment)
73621,"Forging & stamping machines,metalworking",41,Capital goods (except for transport equipment)
73622,"Bending forming,folding & flattening machines",41,Capital goods (except for transport equipment)
73623,"Shearing,punching or notching machines",41,Capital goods (except for transport equipment)
73628,Other metalworking presses,41,Capital goods (except for transport equipment)
7367,Other mach.-tools for working metal or met.carbide,41,Capital goods (except for transport equipment)
7368,"Work holders,self-opening dieheads & tool holders",41,Capital goods (except for transport equipment)
73711,"Converters,ladles,ingot moulds and casting mach.",41,Capital goods (except for transport equipment)
73721,Rolling mills,41,Capital goods (except for transport equipment)
73731,"Gas-operated welding,brazing,surface-tempering m.",41,Capital goods (except for transport equipment)
73732,"Electric welding,brazing,cutting mach.and parts",41,Capital goods (except for transport equipment)
7411,Producer gas and water gas generators and parts,41,Capital goods (except for transport equipment)
7412,Furnace burners for liquid fuel and parts,41,Capital goods (except for transport equipment)
74131,"Ind.& lab.electric furnaces,ovens,induction equip.",41,Capital goods (except for transport equipment)
74132,"Ind.& lab.furnaces & ovens,non electric,and parts",41,Capital goods (except for transport equipment)
74141,"Refrigerators & refrig.equipment,ex.household",41,Capital goods (except for transport equipment)
7415,Air conditioning mach.self-contained and parts,41,Capital goods (except for transport equipment)
7416,Mach.plant & sim.lab.equip.involv.a temp.change,41,Capital goods (except for transport equipment)
7421,"Reciprocating pumps,other than 742.81",41,Capital goods (except for transport equipment)
7422,"Centrifugal pumps,other than 742.81",41,Capital goods (except for transport equipment)
7423,"Rotary pumps,other than 742.81",41,Capital goods (except for transport equipment)
74281,Pumps for dispensing fuel or lubricants,41,Capital goods (except for transport equipment)
74288,"Pumps for liquids,n.e.s.,liq.elevators,chain kind",41,Capital goods (except for transport equipment)
7431,"Air pumps,vacuum pumps & compressors",41,Capital goods (except for transport equipment)
7433,"Free-piston generators for gas turbines,parts",41,Capital goods (except for transport equipment)
7434,"Fans,blowers and the like,and parts",41,Capital goods (except for transport equipment)
7435,Centrifuges,41,Capital goods (except for transport equipment)
7436,Filtering & purifying mach.for liquids & gases,41,Capital goods (except for transport equipment)
74411,"Work trucks,mechanic. propel.,for short distances",41,Capital goods (except for transport equipment)
74421,"Pulley tackle and hoist,winches,capstans",41,Capital goods (except for transport equipment)
74422,"Ships derricks,cranes,mobile lifting frames",41,Capital goods (except for transport equipment)
74423,"Elevators and conveyors,pneumatic",41,Capital goods (except for transport equipment)
74424,Lifts and skip hoists,41,Capital goods (except for transport equipment)
74425,"Escalators,moving stairs and pavements",41,Capital goods (except for transport equipment)
74428,"Other lifting,handling,loading machinery,n.e.s.",41,Capital goods (except for transport equipment)
74511,"Tools for working in the hand,pneumatic motor",41,Capital goods (except for transport equipment)
74521,"Calendering & sim.rolling mach,and cylinders,parts",41,Capital goods (except for transport equipment)
74522,"Mach.for cleaning,filling,closing etc.bottles,cans",41,Capital goods (except for transport equipment)
74524,Automatic vending machines and parts,41,Capital goods (except for transport equipment)
74525,Weighing machinery incl.weight-operated counting,41,Capital goods (except for transport equipment)
74527,"Mechanical appliances,spray guns,fire extinguisher",41,Capital goods (except for transport equipment)
74991,"Moulding boxes for metal foundry,moulds",41,Capital goods (except for transport equipment)
75111,"Typewriters,electric",41,Capital goods (except for transport equipment)
75112,"Typewritters,non electric",41,Capital goods (except for transport equipment)
75118,"Typewritters,n.e.s.,cheque-writting machines",41,Capital goods (except for transport equipment)
75121,Calculating machines,41,Capital goods (except for transport equipment)
75122,"Accounting machines,bookkeeping machines",41,Capital goods (except for transport equipment)
75123,Cash registers incorporating a calculating device,41,Capital goods (except for transport equipment)
75128,"Postage-franking,ticket-issuing etc.machines",41,Capital goods (except for transport equipment)
75181,"Duplicating machines,hectograph or stencil etc",41,Capital goods (except for transport equipment)
75182,Photo-copying apparatus,41,Capital goods (except for transport equipment)
75188," other office machines,adressing,coin-sorting etc.",41,Capital goods (except for transport equipment)
7521,Analogue & hybrid data processing machines,41,Capital goods (except for transport equipment)
7522,Complete digital data processing machines,41,Capital goods (except for transport equipment)
7523,Complete digital central processing units,41,Capital goods (except for transport equipment)
7524,"Digital central storage units,separately consigned",41,Capital goods (except for transport equipment)
7525,"Peripheral units,incl.control & adapting units",41,Capital goods (except for transport equipment)
7528,Off-line data processing equipment. n.e.s.,41,Capital goods (except for transport equipment)
76311,"Gramophones,electric,coin-operated",41,Capital goods (except for transport equipment)
76381,Television image and sound recorders/reproducers,41,Capital goods (except for transport equipment)
7641,Elect.line telephonic & telegraphic apparatus,41,Capital goods (except for transport equipment)
7642,"Microphones,loudspeakers,amplifiers",41,Capital goods (except for transport equipment)
7643,Radiotelegraphic & radiotelephonic transmitters,41,Capital goods (except for transport equipment)
76481,Radiotelephonic or radiotelegraphic receivers,41,Capital goods (except for transport equipment)
76482,Television cameras,41,Capital goods (except for transport equipment)
76483,"Radio navigational aid apparatus,radar apparatus",41,Capital goods (except for transport equipment)
77111,Liquid dielectric transformers,41,Capital goods (except for transport equipment)
77118,Other electric transformers,41,Capital goods (except for transport equipment)
77121,"Static converters,rectifiers & rectifying app.",41,Capital goods (except for transport equipment)
77122,Inductors,41,Capital goods (except for transport equipment)
7741,Electro-medical apparatus,41,Capital goods (except for transport equipment)
7742,App.based on the use of x-rays or of radiations,41,Capital goods (except for transport equipment)
7784,Tools for working in the hand with elect.motor,41,Capital goods (except for transport equipment)
77881,"Electro-magnets,permanent magnets,clamps,vices etc",41,Capital goods (except for transport equipment)
77882,"Elect.traffic control equip.for railways,roads etc",41,Capital goods (except for transport equipment)
77883,Elect.sound & visual signalling apparatus,41,Capital goods (except for transport equipment)
77884,"Elect.capacitors,condensers, fixed or variable",41,Capital goods (except for transport equipment)
77885,Particle accelerators and parts,41,Capital goods (except for transport equipment)
77886,Other elect.appl.having individual functions,41,Capital goods (except for transport equipment)
79382,"Light vessels,fire-floats,dredgers of all kind",41,Capital goods (except for transport equipment)
79383,Floating structures other than vessels,41,Capital goods (except for transport equipment)
8121,Boilers & radiators for central heating,41,Capital goods (except for transport equipment)
82121,"Medical,dental,surgical or veterinary furniture",41,Capital goods (except for transport equipment)
87102,"Astronomical instruments,n.e.s.",41,Capital goods (except for transport equipment)
87103,Microscopes & diffraction apparatus,41,Capital goods (except for transport equipment)
87104,Compound optical microscopes,41,Capital goods (except for transport equipment)
87109,Optical appliances and instruments,41,Capital goods (except for transport equipment)
87201,Dental instruments and appliances,41,Capital goods (except for transport equipment)
87202,"Medical,surgical,veterinary instruments",41,Capital goods (except for transport equipment)
87203,"Mechano-therapy appliances,massage app.etc.",41,Capital goods (except for transport equipment)
8731,"Gas,liquid,electricity meters",41,Capital goods (except for transport equipment)
8732,"Revolution counters,taximeters and the like",41,Capital goods (except for transport equipment)
87411,"Navigational instruments,non-electrical,compasses",41,Capital goods (except for transport equipment)
87412,"Surveying,hydrographic,meteorological instruments",41,Capital goods (except for transport equipment)
87421,"Drawing,marking-out,disc calculators and the like",41,Capital goods (except for transport equipment)
8743,"Instr.non electrical,for measuring,checking flow",41,Capital goods (except for transport equipment)
8744,Instr.& app.for physical or chemical analysis,41,Capital goods (except for transport equipment)
87451,Balances of a sensitivity of 5 cg or better,41,Capital goods (except for transport equipment)
87452,"Instruments,app.or models for demomstr. purposes",41,Capital goods (except for transport equipment)
87453,"Mach.& app.for testing hardness,strength of mat.",41,Capital goods (except for transport equipment)
87454,Hydrometers and similar instruments,41,Capital goods (except for transport equipment)
87481,Electronic automatic regulators,41,Capital goods (except for transport equipment)
87482,Electronic instr.for measuring ionizing radiations,41,Capital goods (except for transport equipment)
87483,Other electronic measuring instr.& apparatus,41,Capital goods (except for transport equipment)
87484,Electro-mechanical automatic regulators,41,Capital goods (except for transport equipment)
87489,Other electrical measuring instruments and app.,41,Capital goods (except for transport equipment)
88122,"Cinematographic cameras,projectors,sound-rec,>16mm",41,Capital goods (except for transport equipment)
88523,Time of day recording apparatus,41,Capital goods (except for transport equipment)
88524,Time switches with clock or watch movement,41,Capital goods (except for transport equipment)
89473,"Roundabouts,swings,shooting galleries etc.",41,Capital goods (except for transport equipment)
89511,"Filing cabinets,racks,sim.office equipment",41,Capital goods (except for transport equipment)
8974,Other articles of precious metal,41,Capital goods (except for transport equipment)
89987,Tailors dummies & lay figures for window dressing,41,Capital goods (except for transport equipment)
6121,Articles of leather or of composition leather,42,Parts and accessories
6282,"Transmission,conveyor/elevator belts of rubber",42,Parts and accessories
65773,Textile fabrics & articles used in machinary/plant,42,Parts and accessories
65791,Textile hosepiping and similar tubing,42,Parts and accessories
65792,"Transmission,conveyor/elevat.belts of text.materi.",42,Parts and accessories
71191,Parts of boilers of 711.1-,42,Parts and accessories
71199,Parts of apparatus/appliances of 711.2-,42,Parts and accessories
7129,Parts of the power units of 712.6-,42,Parts and accessories
7169,Parts of rotating electric plant,42,Parts and accessories
71889,Regulators and parts for the engines of 718.81/82,42,Parts and accessories
72119,Parts of the machinery of 721.1-,42,Parts and accessories
72129,Parts of machines of 721.2-,42,Parts and accessories
72139,Parts of the machinery of 721.3-,42,Parts and accessories
72198,Parts of the machinery of 721.91,42,Parts and accessories
72199,Parts of the machinery of 721.97,42,Parts and accessories
7239,Parts of the machinery of 723.41 to 723.46,42,Parts and accessories
72449,Parts of the mach.and accessories of 724.4-,42,Parts and accessories
72469,Parts & acces. for mach. of 724.51-53 and 724.61,42,Parts and accessories
72479,"Parts of the machines of 724.7- and 775.1-,",42,Parts and accessories
72591,Parts of the mach. of 725.1-,42,Parts and accessories
72599,Parts of the mach. of 725.2-,42,Parts and accessories
72632,"Printing type,impressed flongs & matrices etc.",42,Parts and accessories
72689,Parts of bookbinding machinery,42,Parts and accessories
72691,Parts of the machines of 726.31,42,Parts and accessories
72699,"Parts of the machines of 726.4-,726.7-",42,Parts and accessories
72719,Parts of the machinery of 727.11,42,Parts and accessories
72729,Parts of the food processing mach. of 727.22,42,Parts and accessories
72819,Parts of the machinery of 728.1-,42,Parts and accessories
72839,Parts of the machinery of 728.3-,42,Parts and accessories
72849,"Parts of the mach.of 723.48 & 727.21, 727.42/48",42,Parts and accessories
7369,Parts of the machine-tools of 736--,42,Parts and accessories
73719,Parts of the machines of 737.11,42,Parts and accessories
73729,Rolls for and parts of rolling mills,42,Parts and accessories
74149,Parts of refrigerators and refrigerating equipment,42,Parts and accessories
7429,Parts of the pumps & liq.elevators of 742--,42,Parts and accessories
7432,Parts of the pumps & compressors of 743.1-,42,Parts and accessories
7439,"Parts of the machines of 743.5-,743.6-",42,Parts and accessories
74419,Parts of the trucks of 744.11,42,Parts and accessories
7449,Parts of the machinery of 744.2-,42,Parts and accessories
74519,Parts of the tools of 745.11,42,Parts and accessories
74523,Parts of the machinery of 745.22 and 775.3-,42,Parts and accessories
74526,"Weighing machine,weights of all kinds and parts",42,Parts and accessories
7491,"Ball,roller or needle roller bearings",42,Parts and accessories
7492,"Taps,cocks,valves etc.for pipes,tanks,vats etc",42,Parts and accessories
7493,"Transmission shafts,cranks,bearing housings etc.",42,Parts and accessories
74992,Gaskets & sim.joints of metal sheeting,42,Parts and accessories
74999,Machinery parts not containing electrical connect.,42,Parts and accessories
75911,Parts of and accessories suitable for 751.1-,42,Parts and accessories
75915,Parts of and accessories suitable for 751.18/81/88,42,Parts and accessories
75919,Parts of and accessories suitable for 751.82,42,Parts and accessories
7599,"Parts of and accessories suitable for 751.2-,752--",42,Parts and accessories
76491,Parts of apparatus of 764.1-,42,Parts and accessories
76492,Parts of apparatus of 764.2-,42,Parts and accessories
76493,"Parts of a apparatus of 761--,762--,764.3-,764.8-",42,Parts and accessories
76499,Parts of apparatus of 763--,42,Parts and accessories
77129,Parts of electric power machinery of 771--,42,Parts and accessories
7721,"Elect.app.such as switches,relays,fuses,plugs etc.",42,Parts and accessories
7722,Printed circuits and parts thereof,42,Parts and accessories
7723,"Resistors,fixed or variable and parts",42,Parts and accessories
77322,Electrical insulators of glass,42,Parts and accessories
77323,Electrical insulators of ceramic materials,42,Parts and accessories
7761,"Television picture tubes,cathode ray",42,Parts and accessories
7762,Other electr.valves and tubes,42,Parts and accessories
7763,"Diodes,transistors and sim.semi-conductor devices",42,Parts and accessories
7764,Electronic microcircuits,42,Parts and accessories
77681,"Piezo-electric crystals,mounted",42,Parts and accessories
77689,Parts of components of 776--,42,Parts and accessories
77887,"Carbon brushes,arc-lamp carbons,carbon electrodes",42,Parts and accessories
77889,Elect.parts of machinery and apparatus n.e.s.,42,Parts and accessories
79191,Rail&tramway track fixtures&fittings;for signal.,42,Parts and accessories
87429,"Parts,n.e.s.& accessories for the instrum.of 87421",42,Parts and accessories
8749,"Parts,n.e.s.accessories for 873--,8743-,87454,8748",42,Parts and accessories
7810,"Passenger motor cars,for transport of pass.& goods",51,Passenger motor cars
6251,"Tyres,pneumatic,new,of a kind used on motor cars",53,Parts and accessories
6252,"Tyres,pneumat.,new,of a kind used on buses,lorries",53,Parts and accessories
6253,"Tyres,pneumatic,new,of a kind used on aircraft",53,Parts and accessories
6254,"Tyres,pneum.new.of a kind used on motor/bicycles",53,Parts and accessories
62591,Inner tubes,53,Parts and accessories
62599,"Tyres,n.e.s.,tyre cases,interchang.treads/flaps",53,Parts and accessories
69971,"Anchors & grapnels,parts thereof,of iron or steel",53,Parts and accessories
71311,Internal combustion piston engines for aircraft,53,Parts and accessories
71319,Parts of aircraft engines of 713.11,53,Parts and accessories
7132,Int.combustion piston engines for propelling veh.,53,Parts and accessories
71332,Int.comb.piston engines for other than outboard,53,Parts and accessories
7139,Parts of int.comb.piston engines of 713.2-/3-/8-,53,Parts and accessories
7144,Reaction engines,53,Parts and accessories
71481,Turbo-propellers,53,Parts and accessories
71488,"Other gas turbines,n.e.s.",53,Parts and accessories
71491,Parts of reaction engines & turbo propellers,53,Parts and accessories
71499,Parts of engines and motors of 714.88 and 718.88,53,Parts and accessories
77812,Electric accumulators,53,Parts and accessories
77831,Electr.starting & ignition equipment,53,Parts and accessories
77832,"Electr.lighting & signaling equip.,defrosters etc.",53,Parts and accessories
7841,Chassis fitted with engines for motor vehicles,53,Parts and accessories
7842,Bodies for the motor vehicles of 722/781/782/783,53,Parts and accessories
7849,Other parts & accessories of motor vehicles,53,Parts and accessories
78539,Parts of accessories of 785--,53,Parts and accessories
78689,"Parts of the trailers of 786.11,786.12,786.81",53,Parts and accessories
79199,Parts of the headings 791.1- to 791.5-,53,Parts and accessories
7929,"Parts of heading 792--,excl.tyres,engines",53,Parts and accessories
88521,"Instrument panel clocks for vehicles,aircraft etc.",53,Parts and accessories
65891,"Tapestries,hand-made,of the type gobelins,flanders",61,Durable
65911,Floor cover.prepar.on a base of paper/paperboard,61,Durable
65912,Linoleum and materials prepared on a textile base,61,Durable
65921,Carpets of wool or fine animal hair,61,Durable
65929,Carpets of other textile materials,61,Durable
