HS 1996 Product Code,HS 1996 Product Description,MTN Categories Product Code,MTN Categories Product Description
480570,"Other paper and paperboard, weighing more than 150 g/m2 but less than 225 g/m2",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480580,"Other paper and paperboard, weighing 225 g/m2 or more",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480610,Vegetable parchment,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480620,Greaseproof papers,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480630,Tracing papers,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480640,Glassine and other glazed transparent or translucent papers,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480710,"Paper and paperboard, laminated internally with bitumen, tar or asphalt",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480790,Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480810,"Corrugated paper and paperboard, whether or not perforated",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480820,"Sack kraft paper, creped or crinkled, whether or not embossed or perforated",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480830,"Other kraft paper, creped or crinkled, whether or not embossed or perforated",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480890,Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480910,Carbon or similar copying papers,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480920,Self-copy paper,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
480990,Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481011,"Paper and paperboard of a kind used for writing, printing or other graphic purposes, not containing fibres obtained by a mechanical process or of which not more than 10% by weight of the total fibre..:--Weighing not more than 150g/m2",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481012,"Paper and paperboard of a kind used for writing, printing or other graphic purposes, not containing fibres obtained by a mechanical process or of which not more than 10% by weight of the total fibre..:--Weighing more than 150g/m2",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481021,"Paper and paperboard of a kind used for writing, printing or other graphic purposes, of which more than 10% by weight of the total fibre content consists of fibres obtained by a mechanical process:--Light-weight coated paper",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481029,"Paper and paperboard of a kind used for writing, printing or other graphic purposes, of which more than 10% by weight of the total fibre content consists of fibres obtained by a mechanical process :-- Other",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
