HS 1988/92 Product Code,HS 1988/92 Product Description,BEC Product Code,BEC Product Description
151511,Crude linseed oil,22,Processed
151519,Linseed oil (excl. crude) and fractions,22,Processed
151521,Crude maize (corn) oil,22,Processed
151530,Castor oil and its fractions,22,Processed
151540,Tung oil and its fractions,22,Processed
151560,Jojoba oil and fractions,22,Processed
151590,"Other fixed vegetable fats and fractions, nes",22,Processed
151800,Animal or vegetable fats and oils... chemically,22,Processed
151911,Indus.monocarboxylic fatty acids;acid oils from,22,Processed
151912,Indus.monocarboxylic fatty acids;acid oils from,22,Processed
151913,Indus.monocarbox.fatty acids;acid oils from ref,22,Processed
151919,Industrial monocarboxylic fatty acids;acid oils,22,Processed
151920,Industrial fatty alcohols,22,Processed
152010,"Glycerol (glycerine), crude, glycerol waters an",22,Processed
152090,"Glycerol (excl. crude), including synthetic",22,Processed
152110,Vegetable waxes (excl. triglycerides),22,Processed
152190,"Beeswax, other insect waxes and spermaceti",22,Processed
220710,"Undenatured ethyl alcohol, of alcoholic strengt",22,Processed
220720,Ethyl alcohol and other denatured spirits of an,22,Processed
230110,"Flours, meats and pellets, of meat unfit for hu",22,Processed
230120,"Flours, meals and pellets of fish, etc, unfit f",22,Processed
230400,"Oil-cake and other solid residues, of soya-bean",22,Processed
230500,"Oil-cake and other solid residues, of ground-nu",22,Processed
230610,Oil-cake and other solid residues of cotton see,22,Processed
230620,Oil-cake and other solid residues of linseed,22,Processed
230630,Oil-cake and other solid residues of sunflower,22,Processed
230640,Oil-cake and other solid residues of rape or co,22,Processed
230650,Oil-cake and other solid residues of coconut or,22,Processed
230660,Oil-cake and other solid residues of palm nuts,22,Processed
230690,"Oil-cake and residues, of other vegetable fats",22,Processed
230910,"Dog or cat food, put up for retail sale",22,Processed
230990,Other preparations of a kind used in animal fee,22,Processed
252020,Plasters,22,Processed
252210,Quicklime,22,Processed
252220,Slaked lime,22,Processed
252230,Hydraulic lime,22,Processed
252310,Cement clinkers,22,Processed
252321,White portland cement,22,Processed
252329,Portland cement (excl. white),22,Processed
252330,Aluminous cement,22,Processed
252390,"Other hydraulic cements, etc",22,Processed
270600,"Tar distilled from coal, lignite or peat, and o",22,Processed
270710,Benzole,22,Processed
270720,Toluole,22,Processed
270730,Xylole,22,Processed
270740,Naphthalene,22,Processed
270750,Aromatic hydrocarbon mixtures which >=65% disti,22,Processed
270760,Phenols,22,Processed
270791,Creosote oils,22,Processed
270799,"Other oils and oil products, nes",22,Processed
270810,Pitch obtained from coal tar or from other mine,22,Processed
270820,Pitch coke obtained from coal tar or from other,22,Processed
271210,Petroleum jelly,22,Processed
271220,"Paraffin wax, containing <0.75% oil",22,Processed
271290,"Other paraffin wax... and similar products, nes",22,Processed
271311,"Petroleum coke, not calcined",22,Processed
271312,Calcined petroleum coke,22,Processed
271320,Petroleum bitumen,22,Processed
271390,"Other residues of petroleum oils , etc",22,Processed
271500,"Bituminous mixtures based on natural asphalt, b",22,Processed
280110,Chlorine,22,Processed
280120,Iodine,22,Processed
280130,Fluorine; bromine,22,Processed
280200,"Sulphur, sublimed or precipitated; colloidal su",22,Processed
280300,Carbon (carbon blacks and other forms of carbon,22,Processed
