HS 1996 Product Code,HS 1996 Product Description,BEC Product Code,BEC Product Description
441111,Fibreboard of a density exceeding 0.8 g/cm3 :-- Not mechanically worked or surface covered,21,Primary
441119,Fibreboard of a density exceeding 0.8 g/cm3 :-- Other,21,Primary
441121,Fibreboard of a density exceeding 0.5 g/cm3 but not exceeding 0.8 g/cm3 :-- Not mechanically worked or surface covered,21,Primary
441129,Fibreboard of a density exceeding 0.5 g/cm3 but not exceeding 0.8 g/cm3 :-- Other,21,Primary
441131,Fibreboard of a density exceeding 0.35 g/cm3 but not exceeding 0.5 g/cm3 :-- Not mechanically worked or surface covered,21,Primary
441139,Fibreboard of a density exceeding 0.35 g/cm3 but not exceeding 0.5 g/cm3 :-- Other,21,Primary
441191,Other :-- Not mechanically worked or surface covered,21,Primary
441199,Other,21,Primary
450110,"Natural cork, raw or simply prepared",21,Primary
450190,Other,21,Primary
450200,"Natural cork, debacked or roughly squared, or in rectangular (including square) blocks, plates, sheets or strip, (including sharp-edged blanks for corks or stoppers).",21,Primary
470710,Unbleached kraft paper or paperboard or corrugated paper or paperboard,21,Primary
470720,"Other paper or paperboard made mainly of bleached chemical pulp, not coloured in the mass",21,Primary
470730,"Paper or paperboard made mainly of mechanical pulp (for example, newspapers, journals and similar printed matter)",21,Primary
470790,"Other, including unsorted waste and scrap",21,Primary
500100,Silk-worm cocoons suitable for reeling.,21,Primary
500310,Not carded or combed,21,Primary
500390,Other,21,Primary
510111,"Greasy, including fleece-washed wool :-- Shorn wool",21,Primary
510119,"Greasy, including fleece-washed wool :-- Other",21,Primary
510121,"Degreased, not carbonised :-- Shorn wool",21,Primary
510129,"Degreased, not carbonised :-- Other",21,Primary
510130,Carbonised,21,Primary
510210,Fine animal hair,21,Primary
510220,Coarse animal hair,21,Primary
510310,Noils of wool or of fine animal hair,21,Primary
510320,Other waste of wool or of fine animal hair,21,Primary
510330,Waste of coarse animal hair,21,Primary
510400,Garnetted stock of wool or of fine or coarse animal hair.,21,Primary
520100,"Cotton, not carded or combed.",21,Primary
520210,Yarn waste (including thread waste),21,Primary
520291,Other :-- Garnetted stock,21,Primary
520299,Other,21,Primary
530110,"Flax, raw or retted",21,Primary
530130,Flax tow and waste,21,Primary
530210,"True hemp, raw or retted",21,Primary
530290,Other,21,Primary
530310,"Jute and other textile bast fibres, raw or retted",21,Primary
530390,Other,21,Primary
530410,"Sisal and other textile fibres of the genus Agave, raw",21,Primary
530490,Other,21,Primary
530511,Of coconut (coir) :-- Raw,21,Primary
530519,Of coconut (coir) :-- Other,21,Primary
530521,Of abaca :-- Raw,21,Primary
530529,Of abaca :-- Other,21,Primary
530591,Other :-- Raw,21,Primary
530599,Other,21,Primary
550510,Of synthetic fibres,21,Primary
550520,Of artificial fibres,21,Primary
630900,Worn clothing and other worn articles.,21,Primary
631010,Sorted,21,Primary
631090,Other,21,Primary
710110,Natural pearls,21,Primary
710121,Cultured pearls :-- Unworked,21,Primary
710122,Cultured pearls :-- Worked,21,Primary
710210,Unsorted,21,Primary
710221,"Industrial :-- Unworked or simply sawn, cleaved or bruted",21,Primary
710229,Industrial :-- Other,21,Primary
710231,"Non-industrial :-- Unworked or simply sawn, cleaved or bruted",21,Primary
710310,Unworked or simply sawn or roughly shaped,21,Primary
710510,Of diamonds,21,Primary
710590,Other,21,Primary
711210,"Of gold, including metal clad with gold but excluding sweepings containing other precious metals",21,Primary
711220,"Of platinum, including metal clad with platinum but excluding sweepings containing other precious metals",21,Primary
711290,Other,21,Primary
720410,Waste and scrap of cast iron,21,Primary
720421,Waste and scrap of alloy steel :-- Of stainless steel,21,Primary
720429,Waste and scrap of alloy steel :-- Other,21,Primary
720430,Waste and scrap of tinned iron or steel,21,Primary
720441,"Other waste and scrap :-- Turnings, shavings, chips, milling waste, sawdust, filings, trimmings and stampings, whether or not in bundles",21,Primary
720449,Other waste and scrap :-- Other,21,Primary
720450,Remelting scrap ingots,21,Primary
740400,Copper waste and scrap.,21,Primary
750300,Nickel waste and scrap.,21,Primary
760200,Aluminium waste and scrap.,21,Primary
780200,Lead waste and scrap.,21,Primary
790200,Zinc waste and scrap.,21,Primary
800200,Tin waste and scrap.,21,Primary
810420,Waste and scrap,21,Primary
890800,Vessels and other floating structures for breaking up.,21,Primary
110811,Starches :-- Wheat starch,22,Processed
110812,Starches :-- Maize (corn) starch,22,Processed
110813,Starches :-- Potato starch,22,Processed
110814,Starches :-- Manioc (cassava) starch,22,Processed
110819,Starches :-- Other starches,22,Processed
110820,Inulin,22,Processed
130231,"Mucilages and thickeners, whether or not modified, derived from vegetable products :-- Agar-agar",22,Processed
130232,"Mucilages and thickeners, whether or not modified, derived from locust beans, locust bean seeds or guar seeds",22,Processed
130239,"Mucilages and thickeners, whether or not modified, derived from vegetable products :",22,Processed
150100,"Pig fat (including lard) and poultry fat, other than that of heading No. 02.09 or 15.03.",22,Processed
150200,"Fats of bovine animals, sheep or goats, other than those of heading No. 15.03.",22,Processed
150300,"Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil, not emulsified or mixed or otherwise prepared.",22,Processed
150410,Fish-liver oils and their fractions,22,Processed
150510,"Wool grease, crude",22,Processed
150590,Other,22,Processed
150600,"Other animal fats and oils and their fractions, whether or not refined, but not chemically modified.",22,Processed
151110,Crude oil,22,Processed
151211,Sunflower-seed or safflower oil and fractions thereof :-- Crude oil,22,Processed
151219,Sunflower-seed or safflower oil and fractions thereof :-- Other,22,Processed
151311,Coconut (copra) oil and its fractions :-- Crude oil,22,Processed
151321,Palm kernel or babassu oil and fractions thereof :-- Crude oil,22,Processed
151410,Crude oil,22,Processed
151511,Linseed oil and its fractions :-- Crude oil,22,Processed
151519,Linseed oil and its fractions :-- Other,22,Processed
151521,Maize (corn) oil and its fractions :-- Crude oil,22,Processed
151530,Castor oil and its fractions,22,Processed
151540,Tung oil and its fractions,22,Processed
151560,Jojoba oil and its fractions,22,Processed
151590,Other,22,Processed
151800,"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by beat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading No.15.16; inedible mixtu",22,Processed
152000,"Glycerol, crude; glycerol waters and glycerol lyes.",22,Processed
152110,Vegetable waxes,22,Processed
152190,Other,22,Processed
220710,Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,22,Processed
