HS - Combined  Product Code,HS - Combined  Product Description,CCCN Product Code,CCCN Product Description
080420,Figs,0803,"Figs, fresh or dried"
080430,Pineapples,0801E,"Pineapples,fresh,dried"
080440,Avocados,0801F,"Other tropical fruit,fresh,dry"
080450,"Guavas, mangoes and mangosteens",0801F,"Other tropical fruit,fresh,dry"
080510,Oranges,0802A,"Oranges,fresh or dried"
080520,"Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids",0802B,"Tangerines etc,frsh,dry"
080530,"(-2001) Lemons (Citrus limon, Citrus limonum) and limes (C",0802C,"Lemons,limes,fresh,dried"
080540,Grapefruit,0802D,"Grapefruits,fresh,dried"
080550,"(2002-) Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",0802C,"Lemons,limes,fresh,dried"
080590,Other,0802E,"Citrus nes,fresh,dried"
080610,Fresh,0804A,Grapes fresh
080620,Dried,0804B,Grapes dried(raisins)
080710,"(-1995) Melons and watermelons, fresh",0809,"Other fruit, fresh"
080711,(1996-) Watermelons,0809,"Other fruit, fresh"
080719,(1996-) Other,0809,"Other fruit, fresh"
080720,Papaws (papayas),0809,"Other fruit, fresh"
080810,Apples,0806A,Apples fresh
080820,Pears and quinces,0806B,"Pears,quinces fresh"
080910,Apricots,0807,Stone fruit fresh nes
080920,Cherries,0807,Stone fruit fresh nes
080930,"Peaches, including nectarines",0807,Stone fruit fresh nes
080940,Plums and sloes,0807,Stone fruit fresh nes
081010,Strawberries,0808,"Berries, fresh"
081020,"Raspberries, blackberries, mulberries and loganberries",0808,"Berries, fresh"
