HS - Combined  Product Code,HS - Combined  Product Description,BEC Product Code,BEC Product Description
410120,"(2002-) Whole hides and skins, of a weight per skin not exceeding 8 kg when simply dried, 10 kg when drysalted, or 16 kg when fresh, wetsalted or otherwise preserved",21,Primary
410121,"(-2001) Other hides and skins of bovine animals, fresh or ",21,Primary
410122,"(-2001) Other hides and skins of bovine animals, fresh or ",21,Primary
410129,"(-2001) Other hides and skins of bovine animals, fresh or ",21,Primary
410130,"(-2001) Other hides and skins of bovine animals, otherwise",21,Primary
410140,(-2001) Hides and skins of equine animals,21,Primary
410150,"(2002-) Whole hides and skins, of a weight exceeding 16 kg",21,Primary
410190,"(2002-) Other, including butts, bends and bellies",21,Primary
410210,With wool on,21,Primary
410221,Pickled,21,Primary
410229,Other,21,Primary
410310,(-2006) Of goats or kids,21,Primary
410320,Of reptiles,21,Primary
410330,(2002-) Of swine,21,Primary
410390,Other,21,Primary
411000,(-2001) Parings and other waste of leather or of compositi,21,Primary
411520,"(2002-) Parings and other waste of leather or of composition leather, not suitable for the manufacture of leather articles; leather dust, powder and flour",21,Primary
430110,"Of mink, whole, with or without head, tail or paws",21,Primary
430120,"(-2001) Of rabbit or hare, whole, with or without head, ta",21,Primary
430130,"Of lamb, the following : Astrakhan, Broadtail, Caracul, Persian and similar lamb, Indian, Chinese, Mongolian or Tibetan lamb, whole, with or without head, tail or paws",21,Primary
430140,"(-2001) Of beaver, whole, with or without head, tail or pa",21,Primary
430150,"(-2001) Of musk-rat, whole, with or without head, tail or ",21,Primary
430160,"Of fox, whole, with or without head, tail or paws",21,Primary
430170,"(-2006) Of seal, whole, with or without head, tail or paws",21,Primary
430180,"Other furskins, whole, with or without head, tail or paws",21,Primary
430190,"Heads, tails, paws and other pieces or cuttings, suitable for furriers' use",21,Primary
440121,Coniferous,21,Primary
440122,Nonconiferous,21,Primary
440130,"Sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms",21,Primary
440310,"Treated with paint, stains, creosote or other preservatives",21,Primary
440320,"Other, coniferous",21,Primary
440331,"(-1995) Dark Red Meranti, Light Red Meranti and Me",21,Primary
440332,"(-1995) White Lauan, White Meranti, White Seraya, ",21,Primary
440333,"(-1995) Keruing, Ramin, Kapur, Teak, Jongkong, Mer",21,Primary
440334,"(-1995) Okoume, Obeche, Sapeli, Sipo, Acajou d'Afr",21,Primary
440335,"(-1995) Tiama, Mansonia, Ilomba, Dibetou, Limba an",21,Primary
440341,"(1996-) Dark Red Meranti, Light Red Meranti and Meranti Bakau",21,Primary
440349,(1996-) Other,21,Primary
440391,Of oak (Quercus spp.),21,Primary
440392,Of beech (Fagus spp.),21,Primary
440399,Other,21,Primary
440410,Coniferous,21,Primary
440420,Nonconiferous,21,Primary
441111,(-2006) Not mechanically worked or surface covered,21,Primary
441119,(-2006) Other,21,Primary
441121,(-2006) Not mechanically worked or surface covered,21,Primary
441129,(-2006) Other,21,Primary
441131,(-2006) Not mechanically worked or surface covered,21,Primary
441139,(-2006) Other,21,Primary
