HS 1988/92 Product Code,HS 1988/92 Product Description,MTN Categories Product Code,MTN Categories Product Description
481031,"Kraft paper..., bleached, >95% chemical fibres,",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481032,"Kraft paper..., bleached, >95% chemical fibres,",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481039,"Kraft paper and paperboard, coated..., nes",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481091,"Multi-ply paper and paperboard, coated...",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481099,"Paper and paperboard, coated with kaolin, etc,",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481110,"Tarred, bituminized or asphalted paper and pape",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481121,Self-adhesive paper and paperboard,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481129,Gummed paper and paperboard (excl. self-adhesiv,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481131,"Paper..., coated... with plastics, bleached and",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481139,"Paper and paperboard coated... with plastics, n",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481140,"Paper and paperboard coated... with wax, paraff",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481190,"Paper, paperboard, coated... surface-decorated",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
481200,"Filter blocks, slabs and plates, of paper pulp",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
441400,"Wooden frames for paintings, photographs, mirro",0103,"Wood, pulp, paper & furniture, finished manufactur"
441510,"Cases, boxes, crates, drums and similar packing",0103,"Wood, pulp, paper & furniture, finished manufactur"
441520,"Pallets, box pallets and other load boards of w",0103,"Wood, pulp, paper & furniture, finished manufactur"
441600,"Casks, barrets, vats, tubs, etc, and parts ther",0103,"Wood, pulp, paper & furniture, finished manufactur"
441700,"Tools..., broom or brush bodies... of wood; boo",0103,"Wood, pulp, paper & furniture, finished manufactur"
441810,"Windows, French-windows and their frames, of wo",0103,"Wood, pulp, paper & furniture, finished manufactur"
441820,"Doors and their frames and thresholds, of wood",0103,"Wood, pulp, paper & furniture, finished manufactur"
