HS 2007 Product Code,HS 2007 Product Description,HS 1988/92 Product Code,HS 1988/92 Product Description
251990,"Fused magnesia; dead-burned (sintered) magnesia, whether/not containing small quantities of other oxides added before sintering; other magnesium oxide, whether/not pure",251990,Magnesia and other magnesium oxide
252010,Gypsum; anhydrite,252010,Gypsum; anhydrite
252020,"Plasters (consisting of calcined gypsum/calcium sulphate) whether/not coloured, with/without small quantities of accelerators/retarders",252020,Plasters
252100,"Limestone flux; limestone & other calcareous stone, of a kind used for the manufacture of lime/cement",252100,Limestone flux; limestone and other calcareous
252210,Quicklime,252210,Quicklime
252220,Slaked lime,252220,Slaked lime
252230,"Hydraulic lime, other than calcium oxide & hydroxide of 28.25",252230,Hydraulic lime
252310,Cement clinkers,252310,Cement clinkers
252321,"White cement, whether/not artificially coloured",252321,White portland cement
252329,"Portland cement (excl. white cement, whether/not artificially coloured), whether/not coloured",252329,Portland cement (excl. white)
252330,"Aluminous cement, whether/not coloured/in the form of clinkers",252330,Aluminous cement
252390,"Hydraulic cements (e.g., slag cement, supersulphate cement), whether/not coloured/in the form of clinkers (excl. cement clinkers, Portland cement & aluminous cement)",252390,"Other hydraulic cements, etc"
252410,Crocidolite,252400,Asbestos
252490,Asbestos other than crocidolite,252400,Asbestos
252510,Crude mica & mica rifted into sheets/splittings,252510,Crude mica and mica rifted into sheets or split
252520,Mica powder,252520,Mica powder
252530,Mica waste,252530,Mica waste
252610,"Natural steatite, whether/not roughly trimmed/merely cut, by sawing/othw., into blocks/slabs of a rectangular (incl. square) shape; talc, not crushed/powdered",252610,"Natural steatite, talc, not crushed or powdered"
252620,"Natural steatite, whether/not roughly trimmed/merely cut, by sawing/othw., into blocks/slabs of a rectangular (incl. square) shape; talc, crushed/powdered",252620,"Natural steatite, talc, crushed or powdered"
252810,Natural sodium borates & concentrates thereof (whether/not calcined),252810,Natural sodium borates and concentrates thereof
252890,"Natural borates & concentrates thereof (excl. sodium borates), whether/not calcined but not incl. borates separated from natural brine; natural boric acid containing not >85% of H3BO3 calc. on the dry weight",252890,Natural borates (excl. sodium) and concentrates
252910,Felspar,252910,Felspar
252921,"Fluorspar, containing by weight 97%/less of calcium fluoride",252921,Fluorspar containing by weight <=97% of calcium
252922,"Fluorspar, containing by weight >97% of calcium fluoride",252922,Fluorspar containing by weight >97% of calcium
252930,Leucite; nepheline & nepheline syenite,252930,Leucite nepheline and nepheline syenite
253010,"Vermiculite, perlite & chlorites, unexpanded",253010,"Vermiculite, perlite and chlorites (unexpanded)"
253020,"Kieserite, epsomite (natural magnesium sulphates)",253020,"Kieserite, epsomite (natural magnesium sulphate"
253090,"Mineral substance, n.e.s. in Ch.25",253090,"Other mineral substances, nes"
260111,"Iron ores & concentrates (excl. roasted iron pyrites), non-agglomerated",260111,Non-agglomerated iron ores and concentrates
260112,"Iron ores & concentrates (excl. roasted iron pyrites), agglomerated",260112,Agglomerated iron ores and concentrates
260120,Roasted iron pyrites,260120,Roasted iron pyrites
260200,"Manganese ores & concentrates, incl. ferruginous manganese ores & concentrates with a manganese content of 20%/more, calc. on the dry weight",260200,"Manganese ores and concentrates, with a mangane"
260300,Copper ores & concentrates,260300,Copper ores and concentrates
260400,Nickel ores & concentrates,260400,Nickel ores and concentrates
260500,Cobalt ores & concentrates,260500,Cobalt ores and concentrates
260600,Aluminium ores & concentrates,260600,Aluminium ores and concentrates
260700,Lead ores & concentrates,260700,Lead ores and concentrates
260800,Zinc ores & concentrates,260800,Zinc ores and concentrates
260900,Tin ores & concentrates,260900,Tin ores and concentrates
261000,Chromium ores & concentrates,261000,Chromium ores and concentrates
261100,Tungsten ores & concentrates,261100,Tungsten ores and concentrates
261210,Uranium ores & concentrates,261210,Uranium ores and concentrates
261220,Thorium ores & concentrates,261220,Thorium ores and concentrates
261310,"Molybdenum ores & concentrates, roasted",261310,Roasted molybdenum ores and concentrates
261390,"Molybdenum ores & concentrates, other than roasted",261390,Molybdenum ores and concentrates (excl. roasted
261400,Titanium ores & concentrates,261400,Titanium ores and concentrates
261510,Zirconium ores & concentrates,261510,Zirconium ores and concentrates
261590,Niobium/tantalum/vanadium ores & concentrates,261590,"Niobium, tantalum and vanadium ores and concent"
261610,Silver ores & concentrates,261610,Silver ores and concentrates
261690,Precious metal ores & concentrates (excl. silver ores & concentrates),261690,Precious metal ores and concentrates (excl. sil
261710,Antimony ores & concentrates,261710,Antimony ores and concentrates
