HS 1988/92 Product Code,HS 1988/92 Product Description,CCCN Product Code,CCCN Product Description
070930,"Aubergines, fresh or chilled",0701D,Fresh vegetables nes
070940,"Celery, fresh or chilled",0701D,Fresh vegetables nes
070951,"Mushrooms, fresh or chilled",0701D,Fresh vegetables nes
070952,"Truffles, fresh or chilled",0701D,Fresh vegetables nes
070960,"Fruits of genus Capiscum or Pimenta, fresh or c",0701D,Fresh vegetables nes
070970,"Spinach, fresh or chilled",0701D,Fresh vegetables nes
070990,"Other vegetables, fresh or chilled, nes",0701D,Fresh vegetables nes
071010,"Potatoes, frozen",0702,Vegetables preserved by freezing
071021,"Shelled or unshelled peas, frozen",0702,Vegetables preserved by freezing
071022,"Shelled or unshelled beans, frozen",0702,Vegetables preserved by freezing
071029,"Leguminous vegetables, shelled or unshelled, fr",0702,Vegetables preserved by freezing
071030,"Spinach, frozen",0702,Vegetables preserved by freezing
071040,"Sweet corn, frozen",2107,Miscellaneous food preprtions nes
071080,"Vegetables, frozen, nes",0702,Vegetables preserved by freezing
071090,"Mixtures of vegetables, frozen",0702,Vegetables preserved by freezing
071110,"Onions provisionally preserved, not for immedia",0703,Vegetables provisionally preserved
071120,"Olives provisionally preserved, not for immedia",0703,Vegetables provisionally preserved
071130,"Capers provisionally preserved, not for immedia",0703,Vegetables provisionally preserved
071140,Cucumbers and gherkins provisionally preserved,0703,Vegetables provisionally preserved
071190,Other vegetables and  mixture of vegetables pro,0703,Vegetables provisionally preserved
071210,Dried potatoes,0704,Dehydrated or evaporated vegetables
071220,Dried onions,0704,Dehydrated or evaporated vegetables
071230,Dried mushrooms and truffles,0704,Dehydrated or evaporated vegetables
071290,"Dried vegetables, nes",0704,Dehydrated or evaporated vegetables
071310,"Dried peas, shelled",0705,Leguminous vegetbles dry
071320,"Dried chickpeas, shelled",0705,Leguminous vegetbles dry
071331,"Dried beans, shelled",0705,Leguminous vegetbles dry
071332,"Dried adzuki beans, shelled",0705,Leguminous vegetbles dry
071333,"Dried kidney beans, incl. white pea beans, shel",0705,Leguminous vegetbles dry
071339,"Dried beans, shelled, nes",0705,Leguminous vegetbles dry
071340,"Dried lentils, shelled",0705,Leguminous vegetbles dry
071350,"Dried broad beans and horse beans, shelled",0705,Leguminous vegetbles dry
071390,"Dried leguminous vegetables, shelled, nes",0705,Leguminous vegetbles dry
071410,"Manioc, fresh or dried",0706,"Roots,tubers fresh,dry"
071420,"Sweet potatoes, fresh or dried",0706,"Roots,tubers fresh,dry"
071490,"Roots and tubers with high starch content, fres",0706,"Roots,tubers fresh,dry"
080110,"Coconuts, fresh or dried",0801B,Coconuts fresh or dried
080120,"Brazil nuts, fresh or dried",0801C,"Brazil nuts,fresh,dried"
080130,"Cashew nuts, fresh or dried",0801D,"Cashew nuts,fresh,dried"
080211,"Almonds in shell, fresh or dried",0805A,"Almonds,fresh or dried"
080212,"Almonds without shells, fresh or dried",0805A,"Almonds,fresh or dried"
080221,"Hazlenuts in shell, fresh or dried",0805B,"Hazelnuts,fresh or dried"
080222,"Hazlenuts without shells, fresh or dried",0805B,"Hazelnuts,fresh or dried"
080231,"Walnuts in shell, fresh or dried",0805C,"Nuts edible,frsh,dry,nes"
080232,"Walnuts without shells, fresh or dried",0805C,"Nuts edible,frsh,dry,nes"
080240,"Chestnuts, fresh or dried",0805C,"Nuts edible,frsh,dry,nes"
080250,"Pistachio, fresh or dried",0805C,"Nuts edible,frsh,dry,nes"
080290,"Other nuts, fresh or dried, nes",0805C,"Nuts edible,frsh,dry,nes"
080300,"Bananas, including plantains, fresh or dried",0801A,"Banana,plantain,frsh,dry"
080410,"Dates, fresh or dried",0801G,"Dates,fresh or dried"
080420,"Figs, fresh or dried",0803,"Figs, fresh or dried"
080430,"Pineapples, fresh or dried",0801E,"Pineapples,fresh,dried"
080440,"Avocados, fresh or dried",0801F,"Other tropical fruit,fresh,dry"
080450,"Guavas, mangoes and mangosteens, fresh or dried",0801F,"Other tropical fruit,fresh,dry"
080510,"Oranges, fresh or dried",0802A,"Oranges,fresh or dried"
080520,"Mandarins, clementines, wilkings...etc, fresh o",0802B,"Tangerines etc,frsh,dry"
080530,"Lemons and limes, fresh or dried",0802C,"Lemons,limes,fresh,dried"
080540,"Grapefruit, fresh or dried",0802D,"Grapefruits,fresh,dried"
080590,"Citrus fruit, fresh or dried, nes",0802E,"Citrus nes,fresh,dried"
080610,Fresh grapes,0804A,Grapes fresh
080620,Dried grapes,0804B,Grapes dried(raisins)
080710,"Melons and watermelons, fresh",0809,"Other fruit, fresh"
080720,"Papaws (papayas), fresh",0809,"Other fruit, fresh"
080810,"Apples, fresh",0806A,Apples fresh
080820,"Pears and quinces, fresh",0806B,"Pears,quinces fresh"
080910,"Apricots, fresh",0807,Stone fruit fresh nes
080920,"Cherries, fresh",0807,Stone fruit fresh nes
080930,"Peaches, including nectarines, fresh",0807,Stone fruit fresh nes
080940,"Plums and sloes, fresh",0807,Stone fruit fresh nes
081010,"Strawberries, fresh",0808,"Berries, fresh"
081020,"Raspberries, blackberries, mulberries and logan",0808,"Berries, fresh"
081030,"Black, white or red currants and gooseberries,",0808,"Berries, fresh"
081040,"Cranberries, milberries...etc, fresh",0808,"Berries, fresh"
081090,"Other fruit, fresh, nes",0809,"Other fruit, fresh"
081110,"Strawberries, frozen",0810,Fruit preserved by freezing
081120,"Raspberries, blackberries...etc, frozen",0810,Fruit preserved by freezing
081190,"Other fruit and nuts, frozen, nes",0810,Fruit preserved by freezing
081210,"Cherries, provisionally preserved, not for imme",0811,Fruit provisionally preserved
081220,"Strawberries, provisionally preserved, not for",0811,Fruit provisionally preserved
081290,"Fruit and nuts, provisionally preserved, not fo",0811,Fruit provisionally preserved
081310,Dried apricots,0812,Other dried fruit
081320,Dried prunes,0812,Other dried fruit
081330,Dried apples,0812,Other dried fruit
081340,"Other dried fruit, nes",0812,Other dried fruit
081350,"Mixtures of dried fruit and nuts, nes",0812,Other dried fruit
081400,"Peel of citrus fruit or melons, fresh, frozen,",0813,Peel of melons and citrus fruit
090111,"Coffee, not roasted or decaffeinated",0901A,"Coffee green,husks,skins"
090112,"Decaffeinated coffee, not roasted",0901A,"Coffee green,husks,skins"
090121,"Roasted coffee, not decaffeinated",0901B,Coffee roasted
090122,"Roasted, decaffeinated coffee",0901B,Coffee roasted
090130,Coffee husks and skins,0901A,"Coffee green,husks,skins"
090140,Coffee substitutes containing coffee,0901C,Coffee substittutes including coffee
090210,Green tea in immediate packings,0902,Tea
090220,"Green tea, nes",0902,Tea
090230,Black tea (fermented) and partly fermented tea,0902,Tea
090240,"Black tea (fermented) and partly fermented tea,",0902,Tea
090300,Mate,0903,Mate
090411,Dried pepper (excl. crushed or ground),0904,"Pepper, pimento etc"
090412,"Pepper, crushed or ground",0904,"Pepper, pimento etc"
090420,"Fruits of genus Capiscum or Pimenta, dried, cru",0904,"Pepper, pimento etc"
090500,Vanilla,0905,Vanilla
090610,"Cinnamon and cinnamon-tree flowers, neither cru",0906,"Cinnamon,etc"
090620,"Cinnamon and cinnamon-tree flowers, crushed or",0906,"Cinnamon,etc"
090700,"Cloves (whole fruit, cloves and stems)",0907,Cloves
090810,Nutmeg,0908,"Nutmeg, mace and cardamoms"
090820,Mace,0908,"Nutmeg, mace and cardamoms"
090830,Cardamoms,0908,"Nutmeg, mace and cardamoms"
090910,Seeds of anise or badian,0909,"Seeds of anise,cumin,etc"
090920,Seeds of coriander,0909,"Seeds of anise,cumin,etc"
090930,Seeds of cumin,0909,"Seeds of anise,cumin,etc"
090940,Seeds of caraway,0909,"Seeds of anise,cumin,etc"
090950,Seeds of fennel; juniper berries,0909,"Seeds of anise,cumin,etc"
091010,Ginger,0910A,Ginger(except in sweet)
091020,Saffron,0910B,"Other spices,thyme etc"
091030,Turmeric (curcuma),0910B,"Other spices,thyme etc"
091040,"Thyme, bay leaves",0910B,"Other spices,thyme etc"
091050,Curry,0910B,"Other spices,thyme etc"
091091,Spice mixtures,0910B,"Other spices,thyme etc"
091099,"Other spices, nes",0910B,"Other spices,thyme etc"
100110,Durum wheat,1001A,Durum wheat unmilled
100190,"Spelt, common wheat and meslin",1001B,Other wheat etc unmilled
100200,Rye,1002,Rye unmilled
100300,Barley,1003,Barley unmilled
100400,Oats,1004,Oats unmilled
100510,Maize seed,1005,Maize unmilled
100590,Maize (excl. seed),1005,Maize unmilled
100610,Rice in the husk (paddy or rough),1006A,Rice in the husk
100620,Husked (brown) rice,1006B,Rice husked
100630,Semi-milled or wholly milled rice,1006C,Rice milled unbroken
100640,Broken rice,1006D,Rice broken
100700,Grain sorghum,1007B,Sorghum unmilled
100810,Buckwheat,1007C,Other cereals unmilled nes
100820,Millet,1007A,Millet unmilled
100830,Canary seed,1007C,Other cereals unmilled nes
100890,"Other cereal, nes",1007C,Other cereals unmilled nes
110100,Wheat or meslin flour,1101A,Flour of wheat or meslin
110210,Rye flour,1101B,Cereal flour(non-wheat)
110220,Maize (corn) flour,1101B,Cereal flour(non-wheat)
110230,Rice flour,1101B,Cereal flour(non-wheat)
110290,"Other cereal flour, nes",1101B,Cereal flour(non-wheat)
110311,Groats and meal of wheat,1102A,"Meal,groats of wheat etc"
110312,Groats and meal of oats,1102B,Meal or groats non-wheat
110313,Groats and meal of maize (corn),1102B,Meal or groats non-wheat
110314,Groats and meal of rice,1102B,Meal or groats non-wheat
110319,"Groats and meal of other cereals, nes",1102B,Meal or groats non-wheat
110321,Wheat pellets,1102A,"Meal,groats of wheat etc"
110329,Pellets of other cereals (excl. wheat),1102B,Meal or groats non-wheat
110411,Rolled or flaked barley grains,1102C,"Cereal flaked,rolled,etc"
110412,Rolled or flaked oat grains,1102C,"Cereal flaked,rolled,etc"
110419,"Rolled or flaked grains of other cereals, nes",1102C,"Cereal flaked,rolled,etc"
110421,"Other worked grains of barley, nes",1102C,"Cereal flaked,rolled,etc"
110422,"Other worked grains of oats, nes",1102C,"Cereal flaked,rolled,etc"
110423,"Other worked grains of maize (corn), nes",1102C,"Cereal flaked,rolled,etc"
110429,"Other worked grains of other cereals, nes",1102C,"Cereal flaked,rolled,etc"
