HS 1988/92 Product Code,HS 1988/92 Product Description,GTAP Product Code,GTAP Product Description
090830,Cardamoms,08,OCR - Crops n.e.c.
090910,Seeds of anise or badian,08,OCR - Crops n.e.c.
090920,Seeds of coriander,08,OCR - Crops n.e.c.
090930,Seeds of cumin,08,OCR - Crops n.e.c.
090940,Seeds of caraway,08,OCR - Crops n.e.c.
090950,Seeds of fennel; juniper berries,08,OCR - Crops n.e.c.
091010,Ginger,08,OCR - Crops n.e.c.
091020,Saffron,08,OCR - Crops n.e.c.
091030,Turmeric (curcuma),08,OCR - Crops n.e.c.
091040,"Thyme, bay leaves",08,OCR - Crops n.e.c.
091050,Curry,08,OCR - Crops n.e.c.
091091,Spice mixtures,08,OCR - Crops n.e.c.
091099,"Other spices, nes",08,OCR - Crops n.e.c.
120911,"Sugar beet seed, of a kind used for sowing",08,OCR - Crops n.e.c.
120919,"Beet seed, of a kind used for sowing, (excl. su",08,OCR - Crops n.e.c.
120921,"Lucerne (alfalfa) seed, of a kind used for sowi",08,OCR - Crops n.e.c.
120922,"Clover seed, of a kind used for sowing",08,OCR - Crops n.e.c.
120923,"Fescue seed, of a kind used for sowing",08,OCR - Crops n.e.c.
120924,"Kentucky blue grass seed, of a kind used for so",08,OCR - Crops n.e.c.
120925,"Rye grass seed, of a kind used for sowing",08,OCR - Crops n.e.c.
120926,"Timothy grass seed, of a kind used for sowing",08,OCR - Crops n.e.c.
120929,"Other seeds of forage plants, of a kind used fo",08,OCR - Crops n.e.c.
120930,"Seeds of herbaceous plants, of a kind used for",08,OCR - Crops n.e.c.
120991,"Vegetable seed, of a kind used for sowing",08,OCR - Crops n.e.c.
120999,"Other seeds, fruit and spores, of a kind used f",08,OCR - Crops n.e.c.
121010,"Hop cones (excl. ground, powdered or pellets),",08,OCR - Crops n.e.c.
121020,"Hop cones, ground, powdered or in pellets; lupu",08,OCR - Crops n.e.c.
121110,"Liquorice roots, of a kind used in perfumery, p",08,OCR - Crops n.e.c.
121120,"Ginseng roots, of a kind used in perfumery, pha",08,OCR - Crops n.e.c.
